#"+EI TIC Scan MBPR053_02_GS1.d "
#Point,X(Minutes),Y(Counts)
0,0.096,0.879784725248705
1,0.099,0.874366381020539
2,0.103,0.869606411021215
3,0.106,0.867699396013537
4,0.110,0.869250737587243
5,0.114,0.871407480750689
6,0.117,0.873859357189133
7,0.121,0.877302578730774
8,0.124,0.879005270701915
9,0.128,0.871997747300685
10,0.131,0.864937251260352
11,0.135,0.863204289209723
12,0.139,0.861251869082814
13,0.142,0.856408656364901
14,0.146,0.851981657239933
15,0.149,0.850437883186098
16,0.153,0.853396783455949
17,0.157,0.858467021770014
18,0.160,0.859602149750775
19,0.164,0.857679999703353
20,0.167,0.860109173582182
21,0.171,0.861758892914221
22,0.174,0.858482156809758
23,0.178,0.855939470132853
24,0.182,0.856643249480925
25,0.185,0.853472458654666
26,0.189,0.845140619275881
27,0.192,0.841826045572059
28,0.196,0.846646555730357
29,0.200,0.848712488655342
30,0.203,0.843248739307946
31,0.207,0.839540654570793
32,0.210,0.844293057050246
33,0.214,0.849022756970083
34,0.218,0.846623853170742
35,0.221,0.841205508942576
36,0.225,0.839404439213102
37,0.228,0.843400089705381
38,0.232,0.845314672232931
39,0.235,0.843347117066278
40,0.239,0.845450887590622
41,0.243,0.851323283011092
42,0.246,0.850165452470716
43,0.250,0.84330927946692
44,0.253,0.838027150596446
45,0.257,0.834863927290058
46,0.261,0.83352447627276
47,0.264,0.831367733109315
48,0.268,0.832253132934308
49,0.271,0.833812042027887
50,0.275,0.833993662504808
51,0.279,0.832359078212513
52,0.282,0.83243475341123
53,0.286,0.836808779897095
54,0.289,0.839707140007972
55,0.293,0.835189330644543
56,0.296,0.82608560423884
57,0.300,0.820372126735677
58,0.304,0.819940778102988
59,0.307,0.818578624526075
60,0.311,0.818328896370307
61,0.314,0.822649950217071
62,0.318,0.827107219421525
63,0.322,0.82703911174268
64,0.325,0.826395872553582
65,0.329,0.825934253841406
66,0.332,0.825639120566408
67,0.336,0.826055334159353
68,0.340,0.824905071138849
69,0.343,0.821401309438234
70,0.347,0.820129966099781
71,0.350,0.826123441838199
72,0.354,0.829778553936249
73,0.357,0.824337507148469
74,0.361,0.815824047292761
75,0.365,0.81151056096587
76,0.368,0.811011104654335
77,0.372,0.810375432985109
78,0.375,0.810299757786392
79,0.379,0.812191637754326
80,0.383,0.814741891951103
81,0.386,0.814666216752385
82,0.390,0.812804606863937
83,0.393,0.810057597150496
84,0.397,0.811616506244074
85,0.401,0.81581647977289
86,0.404,0.816679177038268
87,0.408,0.814492163795335
88,0.411,0.812622986387016
89,0.415,0.811616506244074
90,0.418,0.811018672174207
91,0.422,0.813198117897268
92,0.426,0.817451064065185
93,0.429,0.819963480662603
94,0.433,0.816323503604296
95,0.436,0.80959597843832
96,0.440,0.804760333240278
97,0.444,0.800628467390308
98,0.447,0.799614419727495
99,0.451,0.798691182303143
100,0.454,0.796973355292258
101,0.458,0.79807064567366
102,0.462,0.803156019027469
103,0.465,0.805880326181296
104,0.469,0.806750590966546
105,0.472,0.804775468280022
106,0.476,0.80050738707236
107,0.479,0.79998522820121
108,0.483,0.802316024321706
109,0.487,0.803133316467854
110,0.490,0.802868453272343
111,0.494,0.80359493518003
112,0.497,0.802232781603117
113,0.501,0.79598201018906
114,0.505,0.788792866310908
115,0.508,0.785644778044264
116,0.512,0.789035026946803
117,0.515,0.794612289092275
118,0.519,0.79946306933006
119,0.522,0.801627380013378
120,0.526,0.800719277628769
121,0.530,0.797041462971104
122,0.533,0.796420926341621
123,0.537,0.800197118757619
124,0.540,0.8021571064044
125,0.544,0.801059816022997
126,0.548,0.799258746293523
127,0.551,0.799584149648008
128,0.555,0.801498732175558
129,0.558,0.802043593606324
130,0.562,0.799886850442878
131,0.566,0.797117138169821
132,0.569,0.796617681858286
133,0.573,0.796897680093541
134,0.576,0.796867410014054
135,0.580,0.795505256437141
136,0.583,0.79367391662818
137,0.587,0.792682571524982
138,0.591,0.798396049028145
139,0.594,0.805887893701167
140,0.598,0.805297627151172
141,0.601,0.796171198185854
142,0.605,0.787173417058355
143,0.609,0.777994015453935
144,0.612,0.771743244039878
145,0.616,0.778637254643033
146,0.619,0.796390656262134
147,0.623,0.804427362365922
148,0.627,0.804934386197328
149,0.630,0.802656562715934
150,0.634,0.793878239664716
151,0.637,0.786409097551309
152,0.641,0.788081519442964
153,0.644,0.784683703020553
154,0.648,0.781119401160964
155,0.652,0.788633948393601
156,0.655,0.792251222892293
157,0.659,0.782511824817364
158,0.662,0.7740135000014
159,0.666,0.776995102830865
160,0.670,0.794090130221125
161,0.673,0.804086823971693
162,0.677,0.797631729521099
163,0.680,0.789057729506418
164,0.684,0.79289446208139
165,0.688,0.801044680983254
166,0.691,0.798524696865965
167,0.695,0.785160456772472
168,0.698,0.771932432036672
169,0.702,0.768640560892465
170,0.705,0.776291323482794
171,0.709,0.782133448823777
172,0.713,0.774792954548189
173,0.716,0.769889201671302
174,0.720,0.77588267740972
175,0.723,0.779295628871874
176,0.727,0.776533484118689
177,0.731,0.777691314659065
178,0.734,0.782186421462879
179,0.738,0.783752898076329
180,0.741,0.779734545024435
181,0.745,0.7722729704309
182,0.749,0.769715148714252
183,0.752,0.769276232561691
184,0.756,0.764304372005958
185,0.759,0.764395182244419
186,0.763,0.769450285518741
187,0.766,0.769147584723871
188,0.770,0.767119489398245
189,0.774,0.772779994262306
190,0.777,0.779272926312259
191,0.781,0.782504257297492
192,0.784,0.782473987218005
193,0.788,0.781762640350061
194,0.792,0.781134536200707
195,0.795,0.778024285533422
196,0.799,0.772696751543717
197,0.802,0.768481642975158
198,0.806,0.770600548539245
199,0.810,0.777994015453935
200,0.813,0.782716147853901
201,0.817,0.780854537965453
202,0.820,0.777078345549455
203,0.824,0.776170243164846
204,0.827,0.778175635930857
205,0.831,0.781505344674422
206,0.835,0.78140696691609
207,0.838,0.779726977504563
208,0.842,0.781482642114807
209,0.845,0.782466419698133
210,0.849,0.779378871590463
211,0.853,0.777017805390481
212,0.856,0.780423189332763
213,0.860,0.785205861891703
214,0.863,0.781512912194294
215,0.867,0.772129187553337
216,0.870,0.769276232561691
217,0.874,0.772931344659741
218,0.878,0.778213473530216
219,0.881,0.784305327026966
220,0.885,0.788459895436551
221,0.888,0.78593234379939
222,0.892,0.777350776264837
223,0.896,0.772310808030259
224,0.899,0.775315113419339
225,0.903,0.778917252878287
226,0.906,0.778599417043674
227,0.910,0.778395094007137
228,0.914,0.776805914834072
229,0.917,0.774959439985368
230,0.921,0.772696751543717
231,0.924,0.77105459973155
232,0.928,0.770600548539245
233,0.931,0.772689184023846
234,0.935,0.775602679174465
235,0.939,0.774467551193704
236,0.942,0.770002714469378
237,0.946,0.768201644739904
238,0.949,0.766173549414278
239,0.953,0.76048277447073
240,0.957,0.75669901453486
241,0.960,0.762510869796356
242,0.964,0.769071909525154
243,0.967,0.768640560892465
244,0.971,0.766521655328378
245,0.975,0.769609203436048
246,0.978,0.776117270525744
247,0.982,0.777661044579579
248,0.985,0.771296760367446
249,0.989,0.764387614724547
250,0.992,0.760566017189319
251,0.996,0.759113053373945
252,1.000,0.760861150464317
253,1.003,0.762654652673919
254,1.007,0.764788693277749
255,1.010,0.766332467331584
256,1.014,0.765628687983513
257,1.018,0.764448154883521
258,1.021,0.763691402896347
259,1.025,0.760028723278425
260,1.028,0.754580108970773
261,1.032,0.754648216649618
262,1.036,0.762056818604051
263,1.039,0.769980011909763
264,1.043,0.769858931591815
265,1.046,0.763479512339938
266,1.050,0.761489254613671
267,1.053,0.766385439970687
268,1.057,0.771697838920648
269,1.061,0.773612421448198
270,1.064,0.772848101941152
271,1.068,0.768958396727078
272,1.071,0.764168156648267
273,1.075,0.760793042785471
274,1.079,0.758817920098947
275,1.082,0.761436281974569
276,1.086,0.768042726822597
277,1.089,0.768943261687335
278,1.093,0.764614640320699
279,1.097,0.762306546759819
280,1.100,0.764569235201469
281,1.104,0.76866326345208
282,1.107,0.770479468221298
283,1.111,0.768201644739904
284,1.114,0.760846015424573
285,1.118,0.755359563517562
286,1.122,0.756721717094475
287,1.125,0.761080608540597
288,1.129,0.762389789478408
289,1.132,0.760513044550217
290,1.136,0.75848494922459
291,1.140,0.759196296092534
292,1.143,0.760717367586754
293,1.147,0.762465464677125
294,1.150,0.764387614724547
295,1.154,0.764713018079032
296,1.158,0.761935738286104
297,1.161,0.760437369351499
298,1.165,0.762578977475201
299,1.168,0.762753030432252
300,1.172,0.759900075440606
301,1.175,0.761519524693158
302,1.179,0.76866326345208
303,1.183,0.773468638570635
304,1.186,0.769268665041819
305,1.190,0.763797348174552
