,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,13.0093290889428,"Benzene, 1,2,4-trimethyl-",C9H12,93.4093966450051,"Benzene, 1,2,4-trimethyl-",C9H12,93.4093966450051,"Benzene, 1,2,3-trimethyl-",C9H12,72.7318113470413
1,13.0092700448573,"Benzene, 1,2,4-trimethyl-",C9H12,93.8609097491095,"Benzene, 1,2,4-trimethyl-",C9H12,93.8609097491095,"Benzene, 1,2,3-trimethyl-",C9H12,91.053338857319
2,12.178,Mesitylene,C9H12,91.9561447931381,Mesitylene,C9H12,91.9561447931381,"Cyclohexanol, 3,3,5-trimethyl-, acetate, cis-",C11H20O2,61.4977473524257
3,12.1712,"Benzene, 1,2,3-trimethyl-",C9H12,51.9620901128931,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, benzoate, [1R-(1.alpha.,2.beta.,5.alpha.)]-",C17H24O2,59.6442217068029,"Benzene, 1,2,3-trimethyl-",C9H12,51.9620901128931
4,11.9431,"3-Acetyl-2,5-dimethyl furan",C8H10O2,65.6347200117544,"3-Acetyl-2,5-dimethyl furan",C8H10O2,65.6347200117544,"3,3,5,5-Tetramethylcyclohexanol",C10H20O,64.0519952091316
5,11.6175,"1-Penten-3-one, 2-methyl-",C6H10O,74.1006700673048,"1-Penten-3-one, 2-methyl-",C6H10O,74.1006700673048,"1-Propanone, 1-cyclopropyl-",C6H10O,71.9440553792099
6,11.6119,"Heptane, 2-methyl-3-methylene-",C9H18,79.6035693388811,"Heptane, 2-methyl-3-methylene-",C9H18,79.6035693388811,"2,4-Dimethylpentan-3-yl (E)-2-methylbut-2-enoate",C12H22O2,72.0495902897213
7,11.5876,"Cyclopentene, 1,2,3,4,5-pentamethyl-",C10H18,81.4007519534239,"Cyclopentene, 1,2,3,4,5-pentamethyl-",C10H18,81.4007519534239,Ethyl p-hydroxybenzoate,C8H10O2,72.471488884717
8,11.5045,Ethylbenzene,C8H10,85.304053363328,Ethylbenzene,C8H10,85.304053363328,p-Xylene,C8H10,77.5778723517035
9,11.372,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,76.3893271374227,4-Octen-3-one,C8H14O,86.7267541199859,"Cyclohexane, 1-ethyl-2-methyl-, trans-",C9H18,76.2085941140668
