Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
F-001-1-MBPR053_02_GS2.D,FID1A,0.016,0.0614,0.0901,
F-001-1-MBPR053_02_GS2.D,FID1A,0.516,0.0357,0.0488,
F-001-1-MBPR053_02_GS2.D,FID1A,1.251,6607.3271,5015.6074,
F-001-1-MBPR053_02_GS2.D,FID1A,1.282,17944.9590,12717.4893,
F-001-1-MBPR053_02_GS2.D,FID1A,1.409,3636.7185,2808.4658,
F-001-1-MBPR053_02_GS2.D,FID1A,1.463,738.7589,710.5167,
F-001-1-MBPR053_02_GS2.D,FID1A,1.490,147.7936,162.9783,
F-001-1-MBPR053_02_GS2.D,FID1A,1.525,1136.6975,1059.1880,
F-001-1-MBPR053_02_GS2.D,FID1A,1.695,1005.2700,720.4229,
F-001-1-MBPR053_02_GS2.D,FID1A,1.764,221.2730,204.0110,
F-001-1-MBPR053_02_GS2.D,FID1A,1.804,106.8642,89.4607,
F-001-1-MBPR053_02_GS2.D,FID1A,1.855,178.9344,150.6895,
F-001-1-MBPR053_02_GS2.D,FID1A,1.912,417.2267,192.4878,
F-001-1-MBPR053_02_GS2.D,FID1A,1.999,168.6139,155.9423,
F-001-1-MBPR053_02_GS2.D,FID1A,2.041,133.1059,109.6227,
F-001-1-MBPR053_02_GS2.D,FID1A,2.073,86.9176,71.5244,
F-001-1-MBPR053_02_GS2.D,FID1A,2.151,2.0776,1.8100,
F-001-1-MBPR053_02_GS2.D,FID1A,2.185,19.3664,18.1538,
F-001-1-MBPR053_02_GS2.D,FID1A,2.254,55.3382,38.9159,
F-001-1-MBPR053_02_GS2.D,FID1A,2.310,47.1308,21.5331,
F-001-1-MBPR053_02_GS2.D,FID1A,2.347,392.5847,270.0480,
F-001-1-MBPR053_02_GS2.D,FID1A,2.429,112.5028,100.6022,
F-001-1-MBPR053_02_GS2.D,FID1A,2.487,15.3523,13.4277,
F-001-1-MBPR053_02_GS2.D,FID1A,2.512,9.3407,8.6417,
F-001-1-MBPR053_02_GS2.D,FID1A,2.572,62.8484,23.5434,
F-001-1-MBPR053_02_GS2.D,FID1A,2.649,15.1801,15.1469,
F-001-1-MBPR053_02_GS2.D,FID1A,2.677,62.0196,49.0778,
F-001-1-MBPR053_02_GS2.D,FID1A,2.727,113.5660,64.4732,
F-001-1-MBPR053_02_GS2.D,FID1A,2.778,11.4079,10.5027,
F-001-1-MBPR053_02_GS2.D,FID1A,2.811,37.7993,29.4420,
F-001-1-MBPR053_02_GS2.D,FID1A,2.856,34.3118,26.5527,
F-001-1-MBPR053_02_GS2.D,FID1A,2.937,28.3442,19.5488,
F-001-1-MBPR053_02_GS2.D,FID1A,3.031,41.3559,34.7003,
F-001-1-MBPR053_02_GS2.D,FID1A,3.055,30.4287,23.1895,
F-001-1-MBPR053_02_GS2.D,FID1A,3.111,1.4132,1.2537,
F-001-1-MBPR053_02_GS2.D,FID1A,3.165,12.8954,6.3399,
F-001-1-MBPR053_02_GS2.D,FID1A,3.235,19.5938,14.6186,
F-001-1-MBPR053_02_GS2.D,FID1A,3.267,5.4950,4.2168,
F-001-1-MBPR053_02_GS2.D,FID1A,3.310,6.3485,4.2947,
F-001-1-MBPR053_02_GS2.D,FID1A,3.353,13.5279,6.8172,
F-001-1-MBPR053_02_GS2.D,FID1A,3.404,13.0627,8.2756,
F-001-1-MBPR053_02_GS2.D,FID1A,3.482,89.2732,38.2442,
F-001-1-MBPR053_02_GS2.D,FID1A,3.590,29.5294,20.1641,
F-001-1-MBPR053_02_GS2.D,FID1A,3.647,10.6884,5.3130,
F-001-1-MBPR053_02_GS2.D,FID1A,3.715,3.5081,2.4302,
F-001-1-MBPR053_02_GS2.D,FID1A,3.789,9.4584,3.7764,
F-001-1-MBPR053_02_GS2.D,FID1A,3.856,3.0608,1.9282,
F-001-1-MBPR053_02_GS2.D,FID1A,3.885,3.7613,2.8812,
F-001-1-MBPR053_02_GS2.D,FID1A,3.926,7.4075,4.6796,
F-001-1-MBPR053_02_GS2.D,FID1A,3.970,12.4542,9.5217,
F-001-1-MBPR053_02_GS2.D,FID1A,4.030,12.2265,4.2692,
F-001-1-MBPR053_02_GS2.D,FID1A,4.120,7.0716,4.5994,
F-001-1-MBPR053_02_GS2.D,FID1A,4.187,1.9607,1.2990,
F-001-1-MBPR053_02_GS2.D,FID1A,4.240,0.4858,0.4174,
F-001-1-MBPR053_02_GS2.D,FID1A,4.304,2.1446,1.3470,
F-001-1-MBPR053_02_GS2.D,FID1A,4.343,1.2638,0.7947,
F-001-1-MBPR053_02_GS2.D,FID1A,4.399,4.1027,2.1182,
F-001-1-MBPR053_02_GS2.D,FID1A,4.469,1.8669,1.2263,
F-001-1-MBPR053_02_GS2.D,FID1A,4.506,4.9904,3.1271,
F-001-1-MBPR053_02_GS2.D,FID1A,4.543,1.1671,0.8888,
F-001-1-MBPR053_02_GS2.D,FID1A,4.607,1.5056,0.9205,
F-001-1-MBPR053_02_GS2.D,FID1A,4.665,1.2699,0.5067,
F-001-1-MBPR053_02_GS2.D,FID1A,4.712,0.4512,0.3362,
F-001-1-MBPR053_02_GS2.D,FID1A,4.747,2.3072,1.2970,
F-001-1-MBPR053_02_GS2.D,FID1A,4.829,1.8184,0.4575,
F-001-1-MBPR053_02_GS2.D,FID1A,4.898,1.0895,0.4949,
F-001-1-MBPR053_02_GS2.D,FID1A,4.966,2.4187,1.2205,
F-001-1-MBPR053_02_GS2.D,FID1A,5.004,0.1443,0.1398,
F-001-1-MBPR053_02_GS2.D,FID1A,5.037,1.1616,0.6957,
F-001-1-MBPR053_02_GS2.D,FID1A,5.074,0.9401,0.6734,
F-001-1-MBPR053_02_GS2.D,FID1A,5.106,0.5360,0.3082,
F-001-1-MBPR053_02_GS2.D,FID1A,5.134,0.4794,0.2490,
F-001-1-MBPR053_02_GS2.D,FID1A,5.226,0.8473,0.2393,
F-001-1-MBPR053_02_GS2.D,FID1A,5.314,0.4897,0.1717,
F-001-1-MBPR053_02_GS2.D,FID1A,5.344,0.2444,0.1632,
F-001-1-MBPR053_02_GS2.D,FID1A,5.391,0.3027,0.1119,
F-001-1-MBPR053_02_GS2.D,FID1A,5.485,0.3315,0.1805,
F-001-1-MBPR053_02_GS2.D,FID1A,5.524,0.2787,0.1782,
F-001-1-MBPR053_02_GS2.D,FID1A,5.561,0.0915,0.0636,
F-001-1-MBPR053_02_GS2.D,FID1A,5.673,0.0440,0.0312,
F-001-1-MBPR053_02_GS2.D,FID1A,5.777,0.0740,0.0509,
F-001-1-MBPR053_02_GS2.D,FID1A,5.804,0.0582,0.0399,
F-001-1-MBPR053_02_GS2.D,FID1A,5.925,0.1295,0.0691,
F-001-1-MBPR053_02_GS2.D,FID1A,5.993,0.1235,0.0451,
F-001-1-MBPR053_02_GS2.D,FID1A,6.066,0.0849,0.0543,
F-001-1-MBPR053_02_GS2.D,FID1A,6.142,0.1088,0.0260,
F-001-1-MBPR053_02_GS2.D,FID1A,6.405,0.0397,0.0238,
F-001-1-MBPR053_02_GS2.D,FID1A,6.517,0.0467,0.0224,
F-001-1-MBPR053_02_GS2.D,FID1A,6.554,0.0357,0.0213,
F-001-1-MBPR053_02_GS2.D,FID1A,6.622,0.0406,0.0261,
F-001-1-MBPR053_02_GS2.D,FID1A,6.666,0.0346,0.0183,
F-001-1-MBPR053_02_GS2.D,FID1A,10.119,0.0414,0.0189,
F-001-1-MBPR053_02_GS2.D,FID1A,10.731,0.0756,0.0483,
F-001-1-MBPR053_02_GS2.D,FID1A,10.793,0.0393,0.0264,
F-001-1-MBPR053_02_GS2.D,FID1A,12.015,0.0323,0.0440,
F-001-1-MBPR053_02_GS2.D,FID1A,12.164,0.0499,0.0284,
F-001-1-MBPR053_02_GS2.D,FID1A,15.166,0.4198,0.0893,
F-001-1-MBPR053_02_GS2.D,FID1A,16.092,1.3249,0.0761,
F-001-1-MBPR053_02_GS2.D,FID1A,17.062,1.3952,0.1067,
F-001-1-MBPR053_02_GS2.D,FID1A,18.422,0.0386,0.0487,
F-001-1-MBPR053_02_GS2.D,TCD2B,1.383,17.1138,6.8482,
F-001-1-MBPR053_02_GS2.D,TCD2B,2.117,302.6895,169.1956,
F-001-1-MBPR053_02_GS2.D,TCD2B,3.333,1582.9906,212.4494,
F-001-1-MBPR053_02_GS2.D,TCD2B,6.590,369.6124,38.5543,
F-001-1-MBPR053_02_GS2.D,TCD2B,7.348,915.6620,92.1656,
F-001-1-MBPR053_02_GS2.D,TCD2B,11.636,3036.9250,262.1715,
F-001-1-MBPR053_02_GS2.D,TCD2B,15.191,8097.0552,536.6769,
F-001-1-MBPR053_02_GS2.D,TCD2B,16.065,1239.4459,95.5125,
F-001-1-MBPR053_02_GS2.D,TCD2B,18.415,48.9493,77.1630,
F-001-1-MBPR053_02_GS2.D,TCD2B,18.753,1230.0858,58.1923,
F-001-1-MBPR053_02_GS2.D,TCD2B,19.402,178586.6719,11029.4150,
F-001-1-MBPR053_02_GS2.D,TCD2B,20.684,1093.6672,64.8215,
