Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
MBPR053_02_LQ1.D,FID1A,2.424,80.6288,8.5274,
MBPR053_02_LQ1.D,FID1A,2.608,15.9800,6.1170,
MBPR053_02_LQ1.D,FID1A,2.995,1102766.1250,54657.2070,
MBPR053_02_LQ1.D,FID1A,5.396,0.8725,0.3947,
MBPR053_02_LQ1.D,FID1A,5.441,2.2063,0.4666,
MBPR053_02_LQ1.D,FID1A,5.763,0.8325,0.2503,
MBPR053_02_LQ1.D,FID1A,5.833,0.3383,0.1395,
MBPR053_02_LQ1.D,FID1A,5.908,0.1548,0.0867,
MBPR053_02_LQ1.D,FID1A,5.983,0.8234,0.2489,
MBPR053_02_LQ1.D,FID1A,6.078,1.3264,0.2330,
MBPR053_02_LQ1.D,FID1A,6.207,10.7771,1.8090,
MBPR053_02_LQ1.D,FID1A,6.306,6.1010,1.4621,
MBPR053_02_LQ1.D,FID1A,6.395,15.0002,1.6164,
MBPR053_02_LQ1.D,FID1A,6.781,0.9381,0.2072,
MBPR053_02_LQ1.D,FID1A,6.897,1.1652,0.2724,
MBPR053_02_LQ1.D,FID1A,7.042,5.2719,1.1976,
MBPR053_02_LQ1.D,FID1A,7.111,11.2792,1.3501,
MBPR053_02_LQ1.D,FID1A,7.304,5.5306,1.0101,
MBPR053_02_LQ1.D,FID1A,7.396,2.8581,0.6031,
MBPR053_02_LQ1.D,FID1A,7.579,0.2659,0.0903,
MBPR053_02_LQ1.D,FID1A,7.733,3.4409,0.5617,
MBPR053_02_LQ1.D,FID1A,7.895,6.0362,0.8990,
MBPR053_02_LQ1.D,FID1A,7.998,1.5258,0.5206,
MBPR053_02_LQ1.D,FID1A,8.060,0.6900,0.3088,
MBPR053_02_LQ1.D,FID1A,8.118,38.4920,9.6303,
MBPR053_02_LQ1.D,FID1A,8.263,7.7752,1.5615,
MBPR053_02_LQ1.D,FID1A,8.401,3.4321,0.7330,
MBPR053_02_LQ1.D,FID1A,8.491,2.2137,0.6496,
MBPR053_02_LQ1.D,FID1A,8.580,10.0866,1.9174,
MBPR053_02_LQ1.D,FID1A,8.675,2.4346,1.0832,
MBPR053_02_LQ1.D,FID1A,8.734,16.2140,2.5828,
MBPR053_02_LQ1.D,FID1A,8.945,3.7682,0.6045,
MBPR053_02_LQ1.D,FID1A,9.061,0.6769,0.2829,
MBPR053_02_LQ1.D,FID1A,9.174,4.5517,0.5916,
MBPR053_02_LQ1.D,FID1A,9.283,3.2221,0.9336,
MBPR053_02_LQ1.D,FID1A,9.359,8.9833,1.5674,
MBPR053_02_LQ1.D,FID1A,9.523,1.1727,0.2982,
MBPR053_02_LQ1.D,FID1A,9.616,1.1475,0.3524,
MBPR053_02_LQ1.D,FID1A,9.739,3.4586,0.4729,
MBPR053_02_LQ1.D,FID1A,9.897,1.2207,0.4985,
MBPR053_02_LQ1.D,FID1A,9.972,7.2508,1.3227,
MBPR053_02_LQ1.D,FID1A,10.080,3.0914,0.6774,
MBPR053_02_LQ1.D,FID1A,10.205,4.1733,0.6560,
MBPR053_02_LQ1.D,FID1A,10.346,0.9635,0.3951,
MBPR053_02_LQ1.D,FID1A,10.396,1.4219,0.5785,
MBPR053_02_LQ1.D,FID1A,10.453,2.2451,0.5931,
MBPR053_02_LQ1.D,FID1A,10.546,8.3333,1.8578,
MBPR053_02_LQ1.D,FID1A,10.651,2.7242,1.2210,
MBPR053_02_LQ1.D,FID1A,10.702,23.7333,5.5510,
MBPR053_02_LQ1.D,FID1A,10.834,51.2374,14.1638,
MBPR053_02_LQ1.D,FID1A,11.073,8.5666,1.6837,
MBPR053_02_LQ1.D,FID1A,11.328,35.3865,9.4207,
MBPR053_02_LQ1.D,FID1A,11.504,4.8255,1.0098,
MBPR053_02_LQ1.D,FID1A,11.593,1.1397,0.4981,
MBPR053_02_LQ1.D,FID1A,11.641,3.3341,0.7012,
MBPR053_02_LQ1.D,FID1A,11.750,2.7729,0.7891,
MBPR053_02_LQ1.D,FID1A,11.792,1.4880,0.7031,
MBPR053_02_LQ1.D,FID1A,11.886,12.7232,2.8500,
MBPR053_02_LQ1.D,FID1A,12.017,4.9380,1.1752,
MBPR053_02_LQ1.D,FID1A,12.131,2.5341,0.6805,
MBPR053_02_LQ1.D,FID1A,12.175,1.2753,0.6306,
MBPR053_02_LQ1.D,FID1A,12.224,1.9553,0.6538,
MBPR053_02_LQ1.D,FID1A,12.314,3.0835,0.9623,
MBPR053_02_LQ1.D,FID1A,12.371,6.7199,1.5011,
MBPR053_02_LQ1.D,FID1A,12.458,3.4002,1.4728,
MBPR053_02_LQ1.D,FID1A,12.519,10.5559,2.4183,
MBPR053_02_LQ1.D,FID1A,12.641,3.0857,1.0025,
MBPR053_02_LQ1.D,FID1A,12.682,2.1042,0.7918,
