#"+EI TIC Scan MBPR053_02_LQ1.d "
#Point,X(Minutes),Y(Counts)
0,0.101,0.351880058865058
1,0.108,0.340650732877605
2,0.114,0.323096706812203
3,0.121,0.305602347728669
4,0.127,0.292320477564976
5,0.133,0.280434814776982
6,0.140,0.267296145369771
7,0.146,0.258131296954931
8,0.153,0.250517790068646
9,0.159,0.244384024332673
10,0.166,0.2372597866977
11,0.172,0.230958953412498
12,0.179,0.224288184839718
13,0.185,0.216507610404203
14,0.192,0.210063576362519
15,0.198,0.205194750642136
16,0.205,0.197080041108164
17,0.211,0.193321021250515
18,0.218,0.189764869131215
19,0.224,0.187903259296951
20,0.231,0.182998633387447
21,0.237,0.179573748628256
22,0.243,0.177115468975317
23,0.250,0.176160797265438
24,0.256,0.176005663112583
25,0.263,0.171721573814501
26,0.269,0.166244144879069
27,0.276,0.164418335233926
28,0.282,0.1624493248323
29,0.289,0.159752377251892
30,0.295,0.157282164202579
31,0.302,0.156959962500495
32,0.308,0.156792894951266
33,0.315,0.155862090034134
34,0.321,0.154919351720629
35,0.328,0.151267732430341
36,0.334,0.149501589767065
37,0.340,0.147830914274776
38,0.347,0.146828508979403
39,0.353,0.146434706899078
40,0.360,0.146112505196994
41,0.366,0.147663846725548
42,0.373,0.14835598371521
43,0.379,0.147067176906873
44,0.386,0.145849970476777
45,0.392,0.145730636513042
46,0.399,0.144048027624381
47,0.405,0.144501496686573
48,0.412,0.143630358751309
49,0.418,0.141804549106165
50,0.425,0.13556338280283
51,0.431,0.133212503717253
52,0.438,0.133009635978904
53,0.444,0.132508433331217
54,0.450,0.133403438059229
55,0.457,0.13426264259812
56,0.463,0.135062180155144
57,0.470,0.136983456971275
58,0.476,0.138952467372901
59,0.483,0.139477536813334
60,0.489,0.135969118279529
61,0.496,0.135396315253601
62,0.502,0.135694650162939
63,0.509,0.134596777696578
64,0.515,0.134465510336469
65,0.522,0.134405843354602
66,0.528,0.13296190239341
67,0.535,0.132078831061772
68,0.541,0.132436832952976
69,0.547,0.132233965214627
70,0.554,0.130813891046182
71,0.560,0.131279293504748
72,0.567,0.130611023307832
73,0.573,0.131625361999579
74,0.580,0.130503622740471
75,0.586,0.131410560864856
76,0.593,0.129656351597953
77,0.599,0.127162271755894
78,0.606,0.125431929281738
79,0.612,0.127031004395786
80,0.619,0.128057276483906
81,0.625,0.126744602882822
82,0.632,0.128212410636761
83,0.638,0.130324621794869
84,0.645,0.129465417255978
85,0.651,0.131613428603205
86,0.657,0.130300755002122
87,0.664,0.128797147059062
88,0.670,0.128677813095327
89,0.677,0.130873558028049
90,0.683,0.130754224064314
91,0.690,0.129083548572026
92,0.696,0.127162271755894
93,0.703,0.125336462110751
94,0.709,0.124918793237678
95,0.716,0.126863936846557
96,0.722,0.129489284048725
97,0.729,0.130420088965857
98,0.735,0.131207693126507
99,0.742,0.129811485750809
100,0.748,0.127341272701497
101,0.754,0.124477257571859
102,0.761,0.123462918880113
103,0.767,0.123427118690992
104,0.774,0.123391318501872
105,0.780,0.125109727579654
106,0.787,0.12557513003822
107,0.793,0.124011855113293
108,0.800,0.124059588698787
109,0.806,0.125133594372401
110,0.813,0.12660140212634
111,0.819,0.127926009123798
112,0.826,0.128940347815544
113,0.832,0.128725546680821
114,0.839,0.125670597209208
115,0.845,0.124477257571859
116,0.852,0.124059588698787
117,0.858,0.122030911315294
118,0.864,0.124357923608124
119,0.871,0.124644325121088
120,0.877,0.126112132875027
121,0.884,0.124668191913835
122,0.890,0.125598996830967
123,0.897,0.12526486173251
124,0.903,0.127687341196328
125,0.910,0.13043202236223
126,0.916,0.129811485750809
127,0.923,0.127520273647099
128,0.929,0.124572724742847
129,0.936,0.123904454545932
130,0.942,0.125801864569317
131,0.949,0.12759187402534
132,0.955,0.127508340250725
133,0.961,0.126553668540846
134,0.968,0.124656258517462
135,0.974,0.12608826608228
136,0.981,0.127639607610834
137,0.987,0.128021476294785
138,0.994,0.127066804584906
139,1.000,0.126147933064148
140,1.007,0.127031004395786
141,1.013,0.127687341196328
142,1.020,0.127460606665231
143,1.026,0.129274482914002
144,1.033,0.126410467784364
145,1.039,0.122830448872318
146,1.046,0.120360235823006
147,1.052,0.119393630716753
148,1.059,0.119906766760813
149,1.065,0.120909172056186
150,1.071,0.124966526823172
151,1.078,0.123176517367149
152,1.084,0.121613242442222
153,1.091,0.12269918151221
154,1.097,0.123045250007041
155,1.104,0.121828043576945
156,1.110,0.120360235823006
157,1.117,0.122484380377487
158,1.123,0.127186138548641
159,1.130,0.128116943465773
160,1.136,0.127341272701497
161,1.143,0.124477257571859
162,1.149,0.122913982646932
163,1.156,0.12246051358474
164,1.162,0.122567914152101
165,1.168,0.123582252843848
166,1.175,0.124882993048558
167,1.181,0.124131189077028
168,1.188,0.122794648683197
169,1.194,0.121529708667608
170,1.201,0.124572724742847
171,1.207,0.1271145381704
172,1.214,0.127389006286991
173,1.220,0.125766064380196
174,1.227,0.125336462110751
175,1.233,0.125873464947557
176,1.240,0.126004732307666
177,1.246,0.124166989266149
178,1.253,0.122162178675403
179,1.259,0.12273498170133
180,1.266,0.122269579242764
181,1.272,0.120754037903331
182,1.278,0.123558386051101
183,1.285,0.124119255680655
184,1.291,0.124226656248016
185,1.298,0.121577442253102
186,1.304,0.121052372812668
187,1.311,0.121028506019921
188,1.317,0.120551170164982
189,1.324,0.121171706776403
190,1.330,0.123176517367149
191,1.337,0.123916387942305
192,1.343,0.121577442253102
193,1.350,0.11993063355356
194,1.356,0.118653760141597
195,1.363,0.120765971299704
196,1.369,0.120240901859271
197,1.375,0.121720643009583
198,1.382,0.122245712450017
199,1.388,0.124226656248016
200,1.395,0.126494001558979
201,1.401,0.126577535333593
202,1.408,0.12170870961321
203,1.414,0.117854222584573
204,1.421,0.119429430905874
205,1.427,0.12218604546815
206,1.434,0.122520180566607
207,1.440,0.122233779053643
208,1.447,0.122615647737595
209,1.453,0.123546452654727
210,1.460,0.123665786618462
211,1.466,0.124381790400871
212,1.473,0.123641919825715
213,1.479,0.12348678567286
214,1.485,0.122412779999246
215,1.492,0.121314907532885
216,1.498,0.120300568841138
217,1.505,0.123343584916378
218,1.511,0.124990393615919
219,1.518,0.124453390779112
220,1.524,0.121923510747933
221,1.531,0.121004639227174
222,1.537,0.120789838092451
223,1.544,0.119751632607958
224,1.550,0.119763566004331
225,1.557,0.12170870961321
226,1.563,0.121887710558812
227,1.570,0.122293446035511
228,1.576,0.125491596263606
229,1.582,0.1229736496288
230,1.589,0.121100106398162
231,1.595,0.12092110545256
232,1.602,0.121112039794536
233,1.608,0.123415185294619
234,1.615,0.123367451709125
235,1.621,0.12352258586198
236,1.628,0.120634703939596
237,1.634,0.120670504128716
238,1.641,0.122520180566607
239,1.647,0.123713520203956
240,1.654,0.125431929281738
241,1.660,0.123391318501872
242,1.667,0.122567914152101
243,1.673,0.120944972245307
244,1.680,0.120586970354102
245,1.686,0.122532113962981
246,1.692,0.123868654356811
247,1.699,0.120610837146849
248,1.705,0.11811675730479
249,1.712,0.118737293916211
250,1.718,0.120968839038054
251,1.725,0.122341179621005
252,1.731,0.121386507911126
253,1.738,0.119954500346307
254,1.744,0.119906766760813
255,1.751,0.120109634499163
256,1.757,0.119763566004331
257,1.764,0.118749227312585
258,1.770,0.119727765815211
259,1.777,0.120097701102789
260,1.783,0.120575036957729
261,1.789,0.118271891457645
262,1.796,0.119369763924006
263,1.802,0.1204079694085
264,1.809,0.121076239605415
265,1.815,0.123474852276486
266,1.822,0.124226656248016
267,1.828,0.122997516421547
268,1.835,0.121028506019921
269,1.841,0.120825638281572
270,1.848,0.122651447926716
271,1.854,0.122448580188366
272,1.861,0.122388913206499
273,1.867,0.122830448872318
274,1.874,0.122018977918921
275,1.880,0.123104916988908
276,1.887,0.124095388887908
277,1.893,0.122030911315294
278,1.899,0.1168518172892
279,1.906,0.115360142742514
280,1.912,0.115491410102622
281,1.919,0.116660882947224
282,1.925,0.118594093159729
283,1.932,0.121446174892993
284,1.938,0.122842382268691
285,1.945,0.122424713395619
286,1.951,0.120133501291909
287,1.958,0.118796960898079
288,1.964,0.121076239605415
289,1.971,0.126374667595244
290,1.977,0.128045343087532
291,1.984,0.122269579242764
292,1.990,0.119238496563898
293,1.996,0.119202696374777
294,2.003,0.118367358628633
295,2.009,0.121255240551017
296,2.016,0.123092983592535
297,2.022,0.121649042631343
298,2.029,0.118940161654561
299,2.035,0.116004546146682
300,2.042,0.116481882001622
301,2.048,0.120610837146849
302,2.055,0.122532113962981
303,2.061,0.121804176784198
304,2.068,0.119369763924006
305,2.074,0.118701493727091
306,2.081,0.119596498455103
307,2.087,0.120276702048391
308,2.094,0.119202696374777
309,2.100,0.11917882958203
310,2.106,0.121076239605415
311,2.113,0.12071823771421
312,2.119,0.122042844711668
313,2.126,0.123916387942305
