,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,38.496,No Match,,,"(1R,4R,9aS)-1-Ethyl-4-(pent-4-en-1-yl)octahydro-1H-quinolizine",C16H29N,54.7599388818091,"2-Amino-4,4-difluorobutanoic acid, 2TMS",C10H23F2NO2Si2,52.0719626813401
1,38.2981,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,83.4306222032963,"4-tert-Octylphenol, TMS derivative",C17H30OSi,57.0335604081499
2,38.0286429453934,No Match,,,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,50.1529107026024,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,50.1529107026024
3,37.8346,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,57.6447403910168,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,57.6447403910168,"2-naphthalenecarboxamide, 1-(acetyloxy)-5-[(2,2,2-trifluoroacetyl)amino]-",C15H11F3N2O4,51.1472079084407
4,36.0158,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,56.1137304978583,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,50.7689554936951
5,35.7874,3-Phenyl-2H-chromene,C15H12O,62.0190059338623,1-Methyl-2-phenylbenzimidazole,C14H12N2,69.2465208485207,3-Phenyl-2H-chromene,C15H12O,62.0190059338623
6,35.7266676565097,No Match,,,"4-[N'-(2-Oxo-1,2-dihydro-indol-3-ylidene)-hydrazino]-benzoic acid",C15H11N3O3,55.2132659273342,"4-[N'-(2-Oxo-1,2-dihydro-indol-3-ylidene)-hydrazino]-benzoic acid",C15H11N3O3,55.2132659273342
7,34.9143,No Match,,,"1H-1,2,3-Triazole-4-carboxaldehyde",C3H3N3O,54.9375589895404,"2,9-Diazabicyclo[4.4.0]decane, trans-",C8H16N2,50.6060662275648
8,34.4648341029132,No Match,,,"Thiophen-2-methylamine, N-(2-fluorophenyl)-",C11H10FNS,64.6962021376045,"Thiophen-2-methylamine, N-(2-fluorophenyl)-",C11H10FNS,64.6962021376045
9,34.197,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,53.8374411003413,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,60.4564811673848,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,53.8374411003413
